Name,Quantity,Total (USD),Link
Diffusion Sheet,1,2.61,https://www.amazon.in/dp/B0G8ZXCDCP?psc=1&ref_=cm_sw_r_cp_ud_ct_76GDTV1HQRNZEPCY2V5R_4
Female Barrel Jack,2,0.8,https://robocraze.com/products/dc-power-female-plug-jack-adapter-connector
5V 2A Adapter,1,2.09,https://robocraze.com/products/novel-5v-2amp-single-jack-adapter
ESP32 mini,1,2.8,https://robocraze.com/products/esp32-c3-mini-development-board-unsoldered
8x8 LED Matrix,2,2.88,https://robocraze.com/products/ws2812-64-bit-rgb-led-matrix
